                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4549,                 2.0718,                 1.4565,                0.34419,                0.31612,                0.24929,                0.12145,                 1.9048,                 2.6493,                 1.9176,               0.070029,              0.0033301,              0.0033301
                      2,                 1.4274,                 1.8325,                 1.4619,                0.49342,                0.43902,                0.42419,                 0.2369,                 1.6184,                 1.9743,                  1.598,               0.040007,              0.0066415,              0.0066415
                      3,                 1.3777,                 1.6759,                 1.4349,                0.63245,                0.53206,                0.57603,                0.35025,                 1.4059,                 1.6314,                 1.4566,              0.0099631,              0.0099308,              0.0099308
                      4,                 1.3145,                 1.5228,                 1.3922,                0.70621,                0.63044,                0.69178,                0.43967,                 1.2975,                 1.2089,                 1.3527,               0.009901,               0.009901,               0.009901
                      5,                 1.2708,                 1.3946,                 1.3652,                 0.7475,                0.66384,                0.73347,                0.47584,                 1.2624,                 1.1262,                 1.3411,               0.009868,               0.009868,               0.009868
                      6,                 1.2365,                 1.3092,                 1.3427,                0.76188,                0.68159,                 0.7556,                0.50044,                 1.2155,                 1.0487,                 1.3032,               0.009835,               0.009835,               0.009835
                      7,                  1.216,                 1.2572,                 1.3268,                0.81726,                0.74027,                0.82161,                0.55415,                 1.1557,                 0.8813,                 1.2508,               0.009802,               0.009802,               0.009802
                      8,                 1.1963,                 1.2007,                 1.3102,                0.83393,                0.77321,                 0.8448,                0.57492,                 1.1364,                0.79748,                  1.237,               0.009769,               0.009769,               0.009769
                      9,                 1.1838,                 1.1702,                 1.3014,                0.83838,                0.78848,                 0.8554,                0.58752,                  1.116,                0.77927,                 1.2215,               0.009736,               0.009736,               0.009736
                     10,                 1.1723,                 1.1325,                 1.2894,                0.84453,                0.79425,                0.86045,                0.59394,                 1.1083,                 0.7497,                 1.2095,               0.009703,               0.009703,               0.009703
